,FACILITY_ID,FACILITY_NAME,STREET_NUMBER,STREET_DIRECTION,STREET_NAME,STREET_TYPE,STREET_UNIT,PHONE,EXT,SECOND_PHONE,SECOND_EXT,ADDRESS_KEY,ADDRESS_ID,DAYS_OF_OPERATION,HMCD_CATEGORY,HOURS_OF_OPERATION,CROSS_REF,FACILITY_OWNER_ID,PROPERTY_OWNER_ID,EMPLOYEES,BUS_NAME,IS_LAND_TRUST,SITE_ADDRESS,ADDRESS2,CROSS_STREET,CITY,STATE,ZIP,CENSUS,DISTRICT,LOCATION,CITY_CODE,MADDRESS1,MADDRESS2,MCAREOF,MCITY,MSTATE,MZIP,UPDATE_ACCT_REC,ACCTREC_ADDR,APN,SIC_CODE,AID,KEY1,KEY2,COMMENT1,DATE1,COMMENT2,CODE_1,BUS_CODE,CODE_2,BUS_TYPE,CODE_3,NOB,HMIRRP_DATE,WATER,PROCESS_EMITTENTS,STACK,GAS_EMISSIONS,PROGRAM,HAZMAT,PERMIT,EMISSION_FACTORS,CDS,SOURCE_TEST_DATA,CROP,WATER_WELL_PERMIT,COMPLAIN,SERVICE_REQUEST,ONSITE,SEPTIC,JURISDICTION,DATE_CERTIFIED,OWNER_SWITCH_DATE,SIGNATURE_OF_OWNER,ENTERED_DATE,ENTERED_BY,UPDATE_DATE,UPDATE_BY,MCOUNTRY_CODE,UDF_LATITUDE_OLD,UDF_LONGITUDE_OLD,LAST_TOUCHED,owner_id,code,city_name,status,ADDITION,BLOCK,LOT,SPLIT,FAX,EMAIL,NOTIFICATION_STATUS,PERMIT_STATUS_FACILITY,PERMIT_STATUS_INTERIM,PERMIT_STATUS_STANDARD,PERMIT_STATUS_VARIANCE,PERMIT_STATUS_CONSENT,CERT_NAME,CERT_TITLE,CERT_DATE,HYPHEN_FRACTION,POST_DIRECTIONAL,STREET_UNIT_TYPE,TEMP_FACILITY_ID,BFS_LAST_TOUCHED,IS_SHORT_REVIEW_PERIOD,REQUEST_REASON,IS_ALL_ONE_UNIT,IS_ALL_PLOT_PLAN,IS_PBRCA_CLOSURE_FINANCIAL,IS_PBRCA_SELF_CERTIFIED,IS_PBRCA_OTHER,IS_PBRCA_PRIOR_HISTORY,IS_PBR_TANK,IS_PBR_NOTIFY_AGENCY,IS_PBR_NOTIFY_OWNER,CONTRIBUTOR,CROSS_REF2,GIS_LATITUDE,GIS_LONGITUDE,GIS_ELEVATION,IS_NON_SMOKING,CONSOLIDATE_NRT,FAX_EXT,NAICS_CODE,SWIS_NUMBER,COUNTRY_CODE,OID,CERS_ID,CUPA_FACILITY_ID,IS_TEAM_CANDIDATE,SITE_ADDRESS_SUPPLEMENTAL,HORIZONTAL_ACCURACY_MEASURE,HORIZONTAL_COLLECTION_METHOD,GEOGRAPHIC_REFERENCE_POINT,HORIZONTAL_REFERENCE_DATUM,ORGANIZATION_CODE,ORGANIZATION_NAME,DATA_COLLECTION_DATE,FACILITY_STATUS,UDF_RESULTCODE,UDF_MATCHCODE,UDF_LOCATIONCO,GEOCODESTATE,UDF_WELL_PWSID
10,FA0000012,24 Hour Fitness 351,4120.0,E,Alameda,Ave,,3033774424.0,,,,   4120EAlamedaAveGlendale,9754,,,,,OW0000037,,,,N,4120 E Alameda Ave ,4120 E Alameda Avenue,,Glendale,CO,80246,12,3.0,,,4120 E Alameda Avenue,,,Glendale,CO,80246,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,4.0,,,,2.0,,,N,2013-07-03 00:00:00.000,DSCHOME\,2017-10-27 00:00:00.000,TCHD.ORG\hadams,,,,2017-10-27 17:49:39.833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.711372,-104.939774,,,,,,,,1708214A-20C9-4BBE-87BF-1F36DBB6C580,,,N,,,,,,,,,Active,S5HPNTSCZA,S80,AS0,,
11,FA0000013,24 Hour Fitness 355,333.0,,Dad Clark,Dr,,3036832438.0,,,,    333Dad ClarkDrHighlands Ranch,9753,,,,,OW0000037,,,,N,333 Dad Clark Dr ,333 E Dad Clark Drive,,Highlands Ranch,CO,80126,38,18.0,,,333 E Dad Clark Drive,,,Highlands Ranch,CO,80126,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,11.0,,,,7.0,,,N,2013-07-03 00:00:00.000,DSCHOME\,2017-10-27 00:00:00.000,TCHD.ORG\hadams,,,,2017-10-27 17:49:39.833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.5627323292,-104.9858186874,,,,,,,,DE919EE5-730B-4E57-B4E3-6D6B003428F1,,,N,,,,,,,,,Active,,,,,
12,FA0000014,24 Hour Fitness 553,4100.0,S,Parker,Rd,,3036992400.0,,,,   4100SParkerRdAurora,9752,,,,,OW0000037,,,,N,4100 S Parker Rd ,4100 S Parker Road,,Aurora,CO,80014,29,3.0,,,4100 S Parker Road,,,Aurora,CO,80014,,,,,,,,,,,,,2.0,,3,,,,,,,1.0,,,,,,,,10.0,,,,6.0,,,N,2013-07-03 00:00:00.000,DSCHOME\,2017-10-27 00:00:00.000,TCHD.ORG\hadams,,,,2017-10-27 17:49:39.833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.640896,-104.828682,,,,,,,,CEB0AFD9-5236-4670-908E-B0C241CB0CF0,,,N,,,,,,,,,Active,S5HPNTSCZA,S80,AS0,,
13,FA0000015,DO NOT USE -24 Hour Fitness 663,15900.0,E,Briarwood,Cir,,3036620984.0,,,,  15900EBriarwoodCirAurora,9749,,,,,OW0000037,,,,N,15900 E Briarwood Cir ,15900 E Briarwood Court,,Aurora,CO,80016,63,3.0,,,15900 E Briarwood Court,,,Aurora,CO,80016,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,2.0,,,N,2013-07-03 00:00:00.000,DSCHOME\,2017-10-27 00:00:00.000,TCHD.ORG\hadams,,,,2017-10-27 17:49:39.833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.5902605519,-104.8015764837,,,,,,,,2B1468B6-F6C1-4C0B-AD6A-DDDEB97828FA,,,N,,,,,,,,,Inactive,,,,,
14,FA0000016,24 Hour Fitness Belleview Littleton,2650.0,W,Belleview,Ave,,3037291023.0,,,,   2650WBelleviewAveLittleton,9751,,,,,OW0000037,,,,N,2650 W Belleview Ave ,2650 W Belleview Avenue,,Littleton,CO,80123,10,3.0,,,2650 W Belleview Avenue,,,Littleton,CO,80123,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,8.0,,,,2.0,,,N,2013-07-03 00:00:00.000,DSCHOME\,2017-10-27 00:00:00.000,TCHD.ORG\hadams,,,,2017-10-27 17:49:39.833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.623955,-105.020149,,,,,,,,373E12D6-9170-41D2-824B-A26EA8564CD3,,,N,,,,,,,,,Active,S5HPNTSCZA,S80,AS0,,
15,FA0000017,24 Hour Fitness Centennial County Line,6830.0,E,County Line,Rd,,3037408898.0,,,,   6830ECounty LineRdHighlands Ranch,9750,,,,,OW0000037,,,,N,6830 E County Line Rd ,6830 E County Line Road,,Highlands Ranch,CO,80126,14,18.0,,,6830 E County Line Road,,,Highlands Ranch,CO,80126,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,6.0,,,,2.0,,,N,2013-07-03 00:00:00.000,DSCHOME\,2017-10-27 00:00:00.000,TCHD.ORG\hadams,,,,2017-10-27 17:49:39.833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.565914,-104.910164,,,,,,,,A38FD3C2-E0B6-4013-8BCC-6049C007F3F1,,,N,,,,,,,,,Active,S5HPNTSCZA,S80,AS0,,
16,FA0000018,24 Hour Fitness Corner Star,15900.0,E,Briarwood,Cir,,3032098545.0,,,,  15900EBriarwoodCirAurora,9749,,,,,OW0000037,,,,N,15900 E Briarwood Cir ,15900 E Briarwood Court,,Aurora,CO,80016,16,3.0,,,15900 E Briarwood Court,,,Aurora,CO,80016,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,4.0,,,,2.0,,,N,2013-07-03 00:00:00.000,DSCHOME\,2017-11-07 00:00:00.000,LSAENZ,,,,2017-11-07 09:16:22.713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.589127,-104.801842,,,,,,,,7A67198F-85F1-431F-AB2E-3CEC11C51EBF,,,N,,,,,,,,,Active,S5HPNTSCZA,S80,AS0,,
17,FA0000019,24 Hour Fitness North Aurora,512.0,S,Chambers,Rd,,3034811289.0,,,,    512SChambersRdAurora,9748,,,,,OW0000037,,,,N,512 S Chambers Rd ,512 S Chambers Road,,Aurora,CO,80017,25,3.0,,,512 S Chambers Road,,,Aurora,CO,80017,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,4.0,,,,6.0,,,N,2013-07-03 00:00:00.000,DSCHOME\,2017-10-27 00:00:00.000,TCHD.ORG\hadams,,,,2017-10-27 17:49:39.833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.705544,-104.809822,,,,,,,,19FFDE64-603F-46E0-AD42-130A15A4369E,,,N,,,,,,,,,Active,S5HPNTSCZA,S80,AS0,,
18,FA0000020,Colore Italian Restaurant and Pizzeria,2700.0,S,Broadway,,A,3037614332.0,,,,   2700SBroadwayUnitAEnglewood,9747,,,,,OW0000039,,,,N,2700 S Broadway Unit A,"2700 S Broadway, Unit A",,Englewood,CO,80113,10,3.0,,,2700 S Broadway,Unit A,,Englewood,CO,80113,,O,,,,,,,,,,,2.0,,3,,,,,,,1.0,,,,,,,,,,,,2.0,,,N,2013-07-03 00:00:00.000,DSCHOME\,2017-10-27 00:00:00.000,TCHD.ORG\hadams,,,,2017-10-27 17:49:39.833,,,,,,,,,,contact@coloreitalian.com,,,,,,,,,,,,Unit,,,,,,,,,,,,,,,,39.667294,-104.987457,,,,,,,,7B4793FF-F6CF-41A0-9E44-19807F7162FF,,,N,,,,,,,,,Active,S5HPNTSCZA,S80,AS0,,
19,FA0000022,Repiccis Italian Ice of Denver ,2103.0,,Quartz,St,,7209357497.0,,3037688274.0,,   2103QuartzStCastle Rock,9746,,,,,OW0000043,,,,N,2103 Quartz St ,,,Castle Rock,CO,80109,63,18.0,,,Mobile Unit,,,Castle Rock,CO,80109,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,7.0,,,N,2013-07-03 00:00:00.000,DSCHOME\,2017-10-27 00:00:00.000,TCHD.ORG\hadams,,,,2017-10-27 17:49:39.833,,,,,,,,,,salesdenver@repiccisitalianice.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.386894335,-104.904686117,,,,,,,,A0F92391-B20F-4F67-9E14-3D421B42D245,,,N,,,,,,,,,Inactive,,,,,
20,FA0000023,3 Margaritas,3202.0,E,104th,Ave,,3032800166.0,,,,   3202E104thAveThornton,11174,,,,,OW0000044,,,,N,3202 E 104th Ave ,3202 E 104th Avenue ,,Thornton,CO,80229,55,1.0,,,3202 E 104th Avenue,,,Thornton,CO,80229,,,,,,,,,,,,,2.0,,3,,,,,,,1.0,,,,,,,,9.0,,,,4.0,,,N,2013-07-03 00:00:00.000,DSCHOME\,2017-10-27 00:00:00.000,TCHD.ORG\hadams,,,,2017-10-27 17:49:39.833,,,,,,,,,,dviccasenorw@aol.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.804951,-104.922173,,,,,,,,44CD3C52-EEDA-4267-82CD-FADC91CE7D69,,,N,,,,,,,,,Active,,,,,
21,FA0000024,Primrose School of Lone Tree,9200.0,,Teddy,Ln,,3037929234.0,,,,   9200TeddyLnLone Tree,9744,,,,,OW0000047,,,,N,9200 Teddy Ln ,9200 Teddy Lane,,Lone Tree,CO,80124,40,18.0,,,9200 Teddy Lane,,,Lone Tree,CO,80124,,,,,,,,,,,,,2.0,,3,,,,,,,1.0,,,,,,,,2.0,,,,7.0,,,N,2013-07-03 00:00:00.000,DSCHOME\,2017-10-27 00:00:00.000,TCHD.ORG\hadams,,,,2017-10-27 17:49:39.833,,,,,,,,,3037929214.0,sbatterberry@comcast.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.5515634725,-104.8825208242,,,,,,,,F6BB14EC-E3C8-469B-9335-F9733AEBB8B6,,,N,,,,,,,,,Active,,,,,
22,FA0000025,303 Coffee Company,8283.0,S,Akron,St,170,3039250340.0,,,,   8283SAkronSteSt170Centennial,9743,,,,,OW0000050,,,,N,8283 S Akron St Ste 170,"8283 S Akron Street, Suite 170",,Centennial,CO,80112,15,3.0,,,8283 S Akron Street,Suite 170,,Centennial,CO,80112,,,,,,,,,,,,,2.0,,3,,,,,,,1.0,,,,,,,,,,,,2.0,,,N,2013-07-03 00:00:00.000,DSCHOME\,2017-10-27 00:00:00.000,TCHD.ORG\hadams,,,,2017-10-27 17:49:39.833,,,,,,,,,,,,,,,,,,,,,,Ste,,,,,,,,,,,,,,,,39.566486,-104.882957,,,,,,,,7C221CD1-E909-400D-8335-3D879CB318C0,,,N,,,,,,,,,Active,S5HPNTSCZA,S80,AS0,,
23,FA0000026,Firehouse Subs,11280.0,S,Twenty Mile,Rd,102,3038417827.0,,,,  11280STwenty MileSteRd102Parker,9742,,,,,OW0000051,,,,N,11280 S Twenty Mile Rd Ste 102,"11280 S Twenty Mile Road, Suite 102",,Parker,CO,80134,42,18.0,,,11280 S Twenty Mile Road,Suite 102,,Parker,CO,80134,,O,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,7.0,,,N,2013-07-03 00:00:00.000,DSCHOME\,2017-10-27 00:00:00.000,TCHD.ORG\hadams,,,,2017-10-27 17:49:39.833,,,,,,,,,3038414007.0,cory.cummings@firehousesubs.com,,,,,,,,,,,,Ste,,,,,,,,,,,,,,,,39.5112266952,-104.7718522218,,,,,,,,59D3887F-FE91-436C-BEC6-480601C6145E,,,N,,,,,,,,,Active,,,,,
24,FA0000027,Lodos Bar and Grill Westminster,3053.0,W,104th,Ave,,3036358025.0,,,,   3053W104thAveWestminster,11173,,,,,OW0000052,,,,N,3053 W 104th Ave ,3053 W 104th Avenue ,,Westminster,CO,80031,56,1.0,,,3053 W 104th Avenue,,,Westminster,CO,80031,,,,,,,,,,,,,2.0,,3,,,,,,,1.0,,,,,,,,1.0,,,,4.0,,,N,2013-07-03 00:00:00.000,DSCHOME\,2017-10-27 00:00:00.000,TCHD.ORG\hadams,,,,2017-10-27 17:49:39.833,,,,,,,,,,gus@lodosbarandgrill.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.79739,-104.97818,,,,,,,,3A7C9C95-FD4F-4DF0-86F0-726BA4CF14C1,,,N,,,,,,,,,Active,,,,,
25,FA0000028,Seven Eleven 21494A,3005.0,S,Peoria,St,,3036957869.0,,,,   3005SPeoriaStAurora,9740,,,,,OW0000053,,,,N,3005 S Peoria St ,,,Aurora,CO,80014,29,3.0,,,3005 S Peoria St,,,Aurora,CO,80014,,,,,,,,,,,,,2.0,,3,,,,,,,1.0,,,,,,,,,,,,6.0,,,N,2013-07-03 00:00:00.000,DSCHOME\,2017-10-27 00:00:00.000,TCHD.ORG\hadams,,,,2017-10-27 17:49:39.833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.661263,-104.847412,,,,,,,,41545311-74E4-484B-9B7E-542B42560A5B,,,N,,,,,,,,,Active,S5HPNTSCZA,S80,AS0,,
26,FA0000029,Bent Fork American Grill,12191.0,E,Iliff,Ave,,3033376600.0,,,,  12191EIliffAveAurora,9739,,,,,OW0000054,,,,N,12191 E Iliff Ave ,12191 E Iliff Avenue ,,Aurora,CO,80014,29,3.0,,,12191 E Iliff Avenue,,,Aurora,CO,80014,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,2.0,,,,6.0,,,N,2013-07-03 00:00:00.000,DSCHOME\,2017-10-27 00:00:00.000,TCHD.ORG\hadams,,,,2017-10-27 17:49:39.833,,,,,,,,,,aurora@bentforkgrill.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.674969,-104.844688,,,,,,,,5CBE79EE-2784-4099-B43C-738CDEC9625D,,,N,,,,,,,,,Active,S5HPNTSCZA,S80,AS0,,
27,FA0000031,Eco Gas,3480.0,S,Logan,St,,3037627576.0,,,,   3480SLoganStEnglewood,9738,,,,,OW0000056,,,,N,3480 S Logan St ,3480 S Logan Street,,Englewood,CO,80113,10,3.0,,,3480 S Logan Street,,,Englewood,CO,80113,,,,,,,,,,,,,2.0,,3,,,,,,,1.0,,,,,,,,,,,,2.0,,,N,2013-07-03 00:00:00.000,DSCHOME\,2017-10-27 00:00:00.000,TCHD.ORG\hadams,,,,2017-10-27 17:49:39.833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.653526,-104.982872,,,,,,,,D21535D1-4BCF-4B6F-B057-BDB3F427F85C,,,N,,,,,,,,,Active,S5HPNTSCZA,S80,AS0,,
